Symbol,Date,Prev_Close,Open_Price,High_Price,Low_Price,Close_Price
SUNTV,23-Feb-18,908.3,914,931.95,908.85,928.55
SUNTV,26-Feb-18,928.55,930,956.5,921,948.1
SUNTV,27-Feb-18,948.1,950,955.9,929.6,950.5
SUNTV,28-Feb-18,950.5,938,938,921,927.8
SUNTV,1-Mar-18,927.8,920,939,904.7,916.65
SUNTV,5-Mar-18,916.65,915,924,908.15,912.25
SUNTV,6-Mar-18,912.25,922,944.9,916.65,926.8
SUNTV,7-Mar-18,926.8,930,930,885,890.55
SUNTV,8-Mar-18,890.55,896.25,910,870,898.4
SUNTV,9-Mar-18,898.4,907,907.05,872.55,879.3
SUNTV,12-Mar-18,879.3,889.9,900.9,881.3,893
SUNTV,13-Mar-18,893,889.9,906,880,900.25
SUNTV,14-Mar-18,900.25,890.6,944.4,890.6,931.6
SUNTV,15-Mar-18,931.6,940,948.95,917.1,920.7
SUNTV,16-Mar-18,920.7,921,925.3,897.55,903.15
SUNTV,19-Mar-18,903.15,903.35,914,886,907.3
SUNTV,20-Mar-18,907.3,910,910,888.15,892.2
SUNTV,21-Mar-18,892.2,894.5,907.8,866,872.85
SUNTV,22-Mar-18,872.85,880,881.5,845,848.25
SUNTV,23-Mar-18,848.25,830,836,803.3,831.25
SUNTV,26-Mar-18,831.25,834,868.85,814.05,864.9
SUNTV,27-Mar-18,864.9,869.95,872.35,852,863
SUNTV,28-Mar-18,863,858,859.1,837.05,848.6
SUNTV,2-Apr-18,848.6,850.9,863.9,845.1,860
SUNTV,3-Apr-18,860,858,901.5,853.3,894
SUNTV,4-Apr-18,894,893,895,855.1,860.95
SUNTV,5-Apr-18,860.95,868.5,879.8,867.05,873.05
SUNTV,6-Apr-18,873.05,872.1,896,869,889.8
SUNTV,9-Apr-18,889.8,890,904,874.05,878.85
SUNTV,10-Apr-18,878.85,880.15,886.6,871.4,878.05
SUNTV,11-Apr-18,878.05,879.5,884.75,866.5,873.85
SUNTV,12-Apr-18,873.85,873,888.45,859,862.2
SUNTV,13-Apr-18,862.2,869.8,885.9,863.5,879.8
SUNTV,16-Apr-18,879.8,877.1,895,870.9,888.9
SUNTV,17-Apr-18,888.9,892.1,893.95,875,879.15
SUNTV,18-Apr-18,879.15,888,906,875.65,899.55
SUNTV,19-Apr-18,899.55,903,923.85,896.65,915.35
SUNTV,20-Apr-18,915.35,911.9,912.85,882.3,885.4
SUNTV,23-Apr-18,885.4,889,890.9,875.4,879.4
SUNTV,24-Apr-18,879.4,878,892.25,861.95,868.2
SUNTV,25-Apr-18,868.2,869.7,875,858.2,864.45
SUNTV,26-Apr-18,864.45,864.45,879.55,860,875.35
SUNTV,27-Apr-18,875.35,878,888,868.4,871.65
SUNTV,30-Apr-18,871.65,871.5,882.6,871.5,879.8
SUNTV,2-May-18,879.8,885.35,906,863.35,871.8
SUNTV,3-May-18,871.8,873.6,880.9,854.55,858.85
SUNTV,4-May-18,858.85,858.5,867.75,853.15,863.5
SUNTV,7-May-18,863.5,869,885.9,860.2,883.15
SUNTV,8-May-18,883.15,887,887,867.55,874.15
SUNTV,9-May-18,874.15,875.05,887.95,866.15,870.05
SUNTV,10-May-18,870.05,871.7,877.85,852,855.2
SUNTV,11-May-18,855.2,860,881,838,868.5
SUNTV,14-May-18,868.5,905,977.8,901.65,963.25
SUNTV,15-May-18,963.25,955,986.9,946.3,967.15
SUNTV,16-May-18,967.15,963,982.2,955.35,978.25
SUNTV,17-May-18,978.25,979,999,966.5,974.85
SUNTV,18-May-18,974.85,971.6,976.15,947.3,952.3
SUNTV,21-May-18,952.3,955,956.1,931,939.85
SUNTV,22-May-18,939.85,940,960,939.85,946.95
SUNTV,23-May-18,946.95,946.95,954.4,929.25,936.85
SUNTV,24-May-18,936.85,931.05,944.45,923.15,935.05
SUNTV,25-May-18,935.05,938.1,958,929.2,950.05
SUNTV,28-May-18,950.05,968,968,933.45,942.15
SUNTV,29-May-18,942.15,940,951.35,932.1,940.2
SUNTV,30-May-18,940.2,938,946.95,930.1,936.25
SUNTV,31-May-18,936.25,939.8,940.95,914,917.6
SUNTV,1-Jun-18,917.6,920,929.35,855.55,886.55
SUNTV,4-Jun-18,886.55,899,926,892.5,920.5
SUNTV,5-Jun-18,920.5,915.9,929.7,894.5,902.5
SUNTV,6-Jun-18,902.5,904,923.5,896.3,901.45
SUNTV,7-Jun-18,901.45,906.8,932.1,905,928.9
SUNTV,8-Jun-18,928.9,929.5,941,915.75,921.15
SUNTV,11-Jun-18,921.15,929,929,911.05,918.1
SUNTV,12-Jun-18,918.1,918,942,911.5,938.1
SUNTV,13-Jun-18,938.1,938,950,929.1,932.75
SUNTV,14-Jun-18,932.75,932,933.7,907.65,912.25
SUNTV,15-Jun-18,912.25,911,922,905.15,908.25
SUNTV,18-Jun-18,908.25,910.05,912.5,880,883.05
SUNTV,19-Jun-18,883.05,875,883,857,861.9
SUNTV,20-Jun-18,861.9,864.55,871.25,835.3,839.4
SUNTV,21-Jun-18,839.4,837,863.4,825.45,840.2
SUNTV,22-Jun-18,840.2,838,849.85,831.35,836.1
SUNTV,25-Jun-18,836.1,831.5,840.8,798.25,804.65
SUNTV,26-Jun-18,804.65,799,818.8,786,810.9
SUNTV,27-Jun-18,810.9,808.25,821,795,801.05
SUNTV,28-Jun-18,801.05,800,809.9,776,779.05
SUNTV,29-Jun-18,779.05,783.2,793.2,777.95,782.3
SUNTV,2-Jul-18,782.3,784,805.75,778.2,781.95
SUNTV,3-Jul-18,781.95,783,796,774.65,793.1
SUNTV,4-Jul-18,793.1,796,800,781.2,792.85
SUNTV,5-Jul-18,792.85,790,801.95,765.35,770.8
SUNTV,6-Jul-18,770.8,768.5,803.2,761.65,794.1
SUNTV,9-Jul-18,794.1,799,816.8,799,812.9
SUNTV,10-Jul-18,812.9,813.4,822.6,806,809.35
SUNTV,11-Jul-18,809.35,809.05,816.2,795.1,800.3
SUNTV,12-Jul-18,800.3,806.9,812.5,784.15,787.8
SUNTV,13-Jul-18,787.8,790,796,777.65,785.75
SUNTV,16-Jul-18,785.75,785,787.4,736.75,744
SUNTV,17-Jul-18,744,745.95,767.35,724.45,764.2
SUNTV,18-Jul-18,764.2,761.2,786.7,745,779.05
SUNTV,19-Jul-18,779.05,780,781.2,742.65,754.25
SUNTV,20-Jul-18,754.25,758.7,772.5,752,761.4
SUNTV,23-Jul-18,761.4,763,790,762,781.4
SUNTV,24-Jul-18,781.4,790.5,798.1,773.35,787.6
SUNTV,25-Jul-18,787.6,788,792.25,758.6,765.45
SUNTV,26-Jul-18,765.45,760,771.95,754.15,766.75
SUNTV,27-Jul-18,766.75,769.95,777.1,763.05,773.85
SUNTV,30-Jul-18,773.85,778,788.25,772,774.5
SUNTV,31-Jul-18,774.5,776.25,776.25,764.05,772.3
SUNTV,1-Aug-18,772.3,773.95,798.4,773.7,792.6
SUNTV,2-Aug-18,792.6,795,807.1,786,799.3
SUNTV,3-Aug-18,799.3,806,810.95,801.1,805.5
SUNTV,6-Aug-18,805.5,808,817.95,798.9,807.75
SUNTV,7-Aug-18,807.75,810.5,819.25,807,813.8
SUNTV,8-Aug-18,813.8,807.9,830,806.55,819.15
SUNTV,9-Aug-18,819.15,822,834,812.05,830.55
SUNTV,10-Aug-18,830.55,834.9,836,822.2,826.2
SUNTV,13-Aug-18,826.2,835,835,757,762.7
SUNTV,14-Aug-18,762.7,766,782.9,753.8,778.95
SUNTV,16-Aug-18,778.95,778,791.95,770,785.25
SUNTV,17-Aug-18,785.25,792,797.8,781,788.95
SUNTV,20-Aug-18,788.95,785.25,794.85,780,792.65
SUNTV,21-Aug-18,792.65,795,809.6,785.7,799.1
SUNTV,23-Aug-18,799.1,802,808.45,791.85,796.15
SUNTV,24-Aug-18,796.15,800,800,766.15,769
SUNTV,27-Aug-18,769,769.55,775,765,768.85
SUNTV,28-Aug-18,768.85,771.05,782.8,765.25,771.8
SUNTV,29-Aug-18,771.8,773,778,765.8,768.05
SUNTV,30-Aug-18,768.05,763,774.5,760.85,765
SUNTV,31-Aug-18,765,768.8,772.8,761.4,766.2
SUNTV,3-Sep-18,766.2,775,791.9,767.05,778.15
SUNTV,4-Sep-18,778.15,777,781.05,715.8,723.55
SUNTV,5-Sep-18,723.55,720,733.95,702.45,720.3
SUNTV,6-Sep-18,720.3,722,727.65,692.35,697.8
SUNTV,7-Sep-18,697.8,693.25,699.75,681.05,694.95
SUNTV,10-Sep-18,694.95,693,702,687.1,691.35
SUNTV,11-Sep-18,691.35,697.95,697.95,657.4,666.7
SUNTV,12-Sep-18,666.7,669,684.35,655.55,680.35
SUNTV,14-Sep-18,680.35,682.2,693,681,687.95
SUNTV,17-Sep-18,687.95,685,685.6,671.25,674.85
SUNTV,18-Sep-18,674.85,678.55,685.45,670.25,672.5
SUNTV,19-Sep-18,672.5,683.7,683.7,649.1,655.15
SUNTV,21-Sep-18,655.15,660.2,670,557,664.1
SUNTV,24-Sep-18,664.1,668.1,668.95,625.7,632.55
SUNTV,25-Sep-18,632.55,631.25,644.9,622,639.9
SUNTV,26-Sep-18,639.9,649.7,655.5,632.85,635
SUNTV,27-Sep-18,635,642,646.75,616.4,620
SUNTV,28-Sep-18,620,623,627.6,597.45,614.25
SUNTV,1-Oct-18,614.25,610.55,660.25,594.8,653.65
SUNTV,3-Oct-18,653.65,649.8,662.5,622.5,628.5
SUNTV,4-Oct-18,628.5,611.5,645.2,611.5,638.6
SUNTV,5-Oct-18,638.6,635,639.5,602,610.55
SUNTV,8-Oct-18,610.55,606,627.7,587.25,619.65
SUNTV,9-Oct-18,619.65,624.8,628.05,599,610.7
SUNTV,10-Oct-18,610.7,613.2,648.9,612.2,643.55
SUNTV,11-Oct-18,643.55,632,659,610.2,636.5
SUNTV,12-Oct-18,636.5,654,657,638.75,653.95
SUNTV,15-Oct-18,653.95,656.8,667,640,649.45
SUNTV,16-Oct-18,649.45,652.9,681,649.05,670.45
SUNTV,17-Oct-18,670.45,675,675.4,649.35,654.1
SUNTV,19-Oct-18,654.1,655,669.6,624.15,640.9
SUNTV,22-Oct-18,640.9,643.4,654.05,628.6,641.3
SUNTV,23-Oct-18,641.3,635.75,639.9,623.1,632.2
SUNTV,24-Oct-18,632.2,641,651.55,627.2,648.35
SUNTV,25-Oct-18,648.35,642,643.95,611,615.4
SUNTV,26-Oct-18,615.4,616.65,635.45,601.5,620.1
SUNTV,29-Oct-18,620.1,617,653.85,608.1,649.35
SUNTV,30-Oct-18,649.35,647.55,668.7,640.3,651.45
SUNTV,31-Oct-18,651.45,655.4,661.6,630,650.75
SUNTV,1-Nov-18,650.75,653.5,674.7,651.65,672.3
SUNTV,2-Nov-18,672.3,680,683.7,656,663.2
SUNTV,5-Nov-18,663.2,658,658,612.1,618
SUNTV,6-Nov-18,618,618,627.4,605,607.55
SUNTV,7-Nov-18,607.55,610.1,614.8,608.3,609.8
SUNTV,9-Nov-18,609.8,604,632.4,602.05,623.8
SUNTV,12-Nov-18,623.8,624.95,632.65,615.1,618.05
SUNTV,13-Nov-18,618.05,615,620,605,611.3
SUNTV,14-Nov-18,611.3,614,630.55,607.25,613.75
SUNTV,15-Nov-18,613.75,613.75,618.55,594.75,596.6
SUNTV,16-Nov-18,596.6,596.6,615.5,584,608.15
SUNTV,19-Nov-18,608.15,613.2,622.3,609.65,617.05
SUNTV,20-Nov-18,617.05,614.4,623.5,606.5,609.05
