Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price
INDIGO,13-Jul-18,1124.3,1130.1,1138.85,1095.45,1108,1106.6
INDIGO,16-Jul-18,1106.6,1107,1110,1079.6,1098,1100.85
INDIGO,17-Jul-18,1100.85,1119,1129.8,1100.05,1117,1120
INDIGO,18-Jul-18,1120,1128,1128,1090.2,1095.7,1099.15
INDIGO,19-Jul-18,1099.15,1100,1109.85,1062,1069,1068.75
INDIGO,20-Jul-18,1068.75,1068.5,1076.25,1045.3,1058.45,1063.65
INDIGO,23-Jul-18,1063.65,1063.25,1082.05,1042.7,1052,1054.9
INDIGO,24-Jul-18,1054.9,1053.7,1067.35,1035,1043,1041.6
INDIGO,25-Jul-18,1041.6,1045,1048.55,1008,1020,1022.4
INDIGO,26-Jul-18,1022.4,1022,1034.3,996.3,1010,1008.75
INDIGO,27-Jul-18,1008.75,1012,1021,1001.05,1006.8,1009.1
INDIGO,30-Jul-18,1009.1,1007.9,1019.45,991.85,1001,1005.05
INDIGO,31-Jul-18,1005.05,930,950,890.55,933.25,929.7
INDIGO,1-Aug-18,929.7,935,938,919,924.1,924.7
INDIGO,2-Aug-18,924.7,924.65,972,924,960.5,965.35
INDIGO,3-Aug-18,965.35,965.35,999,942,997,996.15
INDIGO,6-Aug-18,996.15,994.9,1074.8,985.3,1065.65,1066.2
INDIGO,7-Aug-18,1066.2,1061,1087.45,1037.35,1048.5,1046.45
INDIGO,8-Aug-18,1046.45,1045.5,1070,1012.2,1033.7,1029.25
INDIGO,9-Aug-18,1029.25,1044.1,1076.6,1029.55,1060,1060.9
INDIGO,10-Aug-18,1060.9,1070,1088.4,1060.5,1070,1070.9
INDIGO,13-Aug-18,1070.9,1060,1070,1028.45,1047,1043.6
INDIGO,14-Aug-18,1043.6,1058,1068.25,1044,1049.15,1050.55
INDIGO,16-Aug-18,1050.55,1050.1,1061,1042.55,1050.5,1050.05
INDIGO,17-Aug-18,1050.05,1057.4,1057.4,1047,1050,1049.95
INDIGO,20-Aug-18,1049.95,1050,1092,1046.05,1092,1086.2
INDIGO,21-Aug-18,1086.2,1086.9,1106,1070.1,1083,1075.35
INDIGO,23-Aug-18,1075.35,1075.35,1076,1050,1054,1054
INDIGO,24-Aug-18,1054,1034,1066.5,1034,1054.1,1054.9
INDIGO,27-Aug-18,1054.9,1042,1061,1042,1052.7,1049.7
INDIGO,28-Aug-18,1049.7,1049.7,1052.3,1018.8,1020,1023.9
INDIGO,29-Aug-18,1023.9,1028,1028.95,961,965,966.8
INDIGO,30-Aug-18,966.8,961,964.3,920.5,944,940.7
INDIGO,31-Aug-18,940.7,939.95,955.9,925.3,928.9,928.85
INDIGO,3-Sep-18,928.85,934.8,956.1,934,944.25,948.95
INDIGO,4-Sep-18,948.95,935,943,903.05,910,910
INDIGO,5-Sep-18,910,917.95,922.5,868,869.6,871.8
INDIGO,6-Sep-18,871.8,876,895.35,868,886.15,885.1
INDIGO,7-Sep-18,885.1,889.8,922.35,883.1,913,913.45
INDIGO,10-Sep-18,913.45,908,909.4,888.5,890.5,890.15
INDIGO,11-Sep-18,890.15,891,912,886,892.75,892.35
INDIGO,12-Sep-18,892.35,890,891.8,866,882.5,882.8
INDIGO,14-Sep-18,882.8,893.7,916.95,878,885,886.3
INDIGO,17-Sep-18,886.3,884.85,904.7,875.1,889.05,888.9
INDIGO,18-Sep-18,888.9,894.4,897.4,856,863.5,861.8
INDIGO,19-Sep-18,861.8,862,873.45,846.1,867,868.8
INDIGO,21-Sep-18,868.8,875,910,835.15,900.8,897.1
INDIGO,24-Sep-18,897.1,875,890,850.9,862.2,862.7
INDIGO,25-Sep-18,862.7,846.5,860.65,821,848,852.75
INDIGO,26-Sep-18,852.75,853,859,835.7,849.5,853.2
INDIGO,27-Sep-18,853.2,826.25,848.7,818,842.85,839.55
INDIGO,28-Sep-18,839.55,843.6,870.55,816.5,824,826.1
INDIGO,1-Oct-18,826.1,812,815.95,769.05,801.15,806.65
INDIGO,3-Oct-18,806.65,790,796,772,775.35,778.3
INDIGO,4-Oct-18,778.3,764,839.7,759.05,781.25,816.7
INDIGO,5-Oct-18,816.7,784.5,813,755.95,766.4,766.85
INDIGO,8-Oct-18,766.85,766,785.7,755.1,781,781.85
INDIGO,9-Oct-18,781.85,775,788,691,725,724.45
INDIGO,10-Oct-18,724.45,764.95,768.4,737.3,742,744.45
INDIGO,11-Oct-18,744.45,725,801.65,714.1,760.1,760.8
INDIGO,12-Oct-18,760.8,770.85,816.6,770.85,814.05,808.55
INDIGO,15-Oct-18,808.55,809.85,828.65,786,827,822.3
INDIGO,16-Oct-18,822.3,825.1,875.85,814.15,866,869.25
INDIGO,17-Oct-18,869.25,870.1,877.35,830,842,837.15
INDIGO,19-Oct-18,837.15,850,870,827,831.65,831.65
INDIGO,22-Oct-18,831.65,831.7,833,800,808,806.5
INDIGO,23-Oct-18,806.5,781.35,814.95,781.35,807,803.85
INDIGO,24-Oct-18,803.85,822.25,847,790.2,811,816.75
INDIGO,25-Oct-18,816.75,786.65,892,786.65,884,877.95
INDIGO,26-Oct-18,877.95,877.65,893.55,860,875,870.1
INDIGO,29-Oct-18,870.1,869,890.95,854,880,884.4
INDIGO,30-Oct-18,884.4,876,901.6,870.05,884.05,882.4
INDIGO,31-Oct-18,882.4,884,896.85,871.6,887,888.9
INDIGO,1-Nov-18,888.9,890,931.6,889.15,925,925.4
INDIGO,2-Nov-18,925.4,954.5,979,945.05,975.1,975.25
INDIGO,5-Nov-18,975.25,979.8,983,951.45,966.5,968.9
INDIGO,6-Nov-18,968.9,967,967,940,958,955.65
INDIGO,7-Nov-18,955.65,965.2,969.95,956.65,960,961.2
INDIGO,9-Nov-18,961.2,970.8,1004.9,970.8,992.25,991.95
INDIGO,12-Nov-18,991.95,992,992,943.7,953,948.6
INDIGO,13-Nov-18,948.6,953.45,989.45,953.45,979,974.9
INDIGO,14-Nov-18,974.9,1000,1062,999.45,1048.15,1048.45
INDIGO,15-Nov-18,1048.45,1039,1057.9,1035.6,1043.4,1043.95
INDIGO,16-Nov-18,1043.95,1043,1070,1028,1046.85,1049.4
INDIGO,19-Nov-18,1049.4,1047.95,1050,1017.1,1045,1042.65
INDIGO,20-Nov-18,1042.65,1036.5,1058,1027.15,1035,1033.15
INDIGO,21-Nov-18,1033.15,1070,1079,1042.3,1048,1046.95
INDIGO,22-Nov-18,1046.95,1047.95,1050,1018.85,1028.5,1026.4
INDIGO,26-Nov-18,1026.4,1056,1068,1042.5,1049.25,1048.65
INDIGO,27-Nov-18,1048.65,1041,1045,1025.65,1031,1035.6
INDIGO,28-Nov-18,1035.6,1031.8,1047.55,1026,1039.9,1036.9
INDIGO,29-Nov-18,1036.9,1049,1061.3,1036,1050.25,1048.45
INDIGO,30-Nov-18,1048.45,1050.45,1052.65,1028.45,1038.8,1038.25
INDIGO,3-Dec-18,1038.25,1056,1056.3,972.15,981.85,982.8
INDIGO,4-Dec-18,982.8,981.85,999.65,975,995.1,995.8
INDIGO,5-Dec-18,995.8,995.1,1012,985.5,1000.3,1000.8
INDIGO,6-Dec-18,1000.8,999.8,1001.85,956.35,990.6,991.1
INDIGO,7-Dec-18,991.1,993,1033.5,992.8,1019,1021.05
INDIGO,10-Dec-18,1021.05,986,1014,986,995.7,1004.55
INDIGO,11-Dec-18,1004.55,981.05,1031.85,981.05,1026,1026.1
INDIGO,12-Dec-18,1026.1,1026,1040.5,1015.75,1021,1023.95
INDIGO,13-Dec-18,1023.95,1038,1080,1034,1060.8,1060
INDIGO,14-Dec-18,1060,1060.8,1069.9,1050.2,1063.25,1061.6
INDIGO,17-Dec-18,1061.6,1066.05,1071.45,1052.4,1062,1060.1
